"ID";"WijkenEnBuurten";"Gemeentenaam_1";"AantalInwoners_5";"Mannen_6";"Vrouwen_7";"k_0Tot15Jaar_8";"k_15Tot25Jaar_9";"k_25Tot45Jaar_10";"k_45Tot65Jaar_11";"k_65JaarOfOuder_12";"Bevolkingsdichtheid_33";"GemiddeldInkomenPerInwoner_66";"MeestVoorkomendePostcode_103"
"0";"NL00      ";"Nederland                               ";"17181084";" 8527041";" 8654043";" 2762624";" 2116813";" 4222614";" 4839917";" 3239116";"     510";"    26.0";"         ."
"1";"GM1680    ";"Aa en Hunze                             ";"   25390";"   12666";"   12724";"    3531";"    2571";"    4398";"    8396";"    6494";"      92";"    26.1";"         ."
"2";"WK168000  ";"Aa en Hunze                             ";"    3560";"    1735";"    1825";"     570";"     335";"     610";"    1170";"     860";"     243";"    27.2";"         ."
"3";"BU16800000";"Aa en Hunze                             ";"    3415";"    1660";"    1755";"     560";"     320";"     595";"    1100";"     830";"    1354";"    26.4";"      9468"
"4";"BU16800009";"Aa en Hunze                             ";"     145";"      75";"      70";"      10";"      10";"      15";"      70";"      30";"      12";"       .";"      9468"
"5";"WK168001  ";"Aa en Hunze                             ";"    1430";"     725";"     705";"     210";"     140";"     280";"     495";"     290";"      80";"       .";"         ."
"6";"BU16800100";"Aa en Hunze                             ";"    1260";"     640";"     625";"     200";"     125";"     255";"     420";"     245";"     738";"       .";"      9463"
"7";"BU16800109";"Aa en Hunze                             ";"     170";"      90";"      85";"       5";"      10";"      20";"      75";"      45";"      10";"       .";"      9463"
"8";"WK168002  ";"Aa en Hunze                             ";"     445";"     230";"     220";"      45";"      45";"      60";"     165";"     120";"      55";"       .";"         ."
"9";"BU16800200";"Aa en Hunze                             ";"     325";"     155";"     170";"      30";"      30";"      45";"     115";"      90";"     562";"       .";"      9467"
"10";"BU16800209";"Aa en Hunze                             ";"     125";"      75";"      55";"      10";"      10";"      15";"      50";"      25";"      16";"       .";"      9467"
"11";"WK168003  ";"Aa en Hunze                             ";"     405";"     205";"     200";"      25";"      60";"      45";"     155";"     110";"      44";"       .";"         ."
"12";"BU16800300";"Aa en Hunze                             ";"     390";"     200";"     190";"      25";"      55";"      40";"     150";"     105";"     714";"       .";"      9466"
"13";"BU16800309";"Aa en Hunze                             ";"      15";"       5";"      10";"       0";"       0";"       0";"       0";"       0";"       2";"       .";"      9466"
"14";"WK168004  ";"Aa en Hunze                             ";"     260";"     140";"     125";"      25";"      30";"      25";"     120";"      55";"      23";"       .";"         ."
"15";"BU16800400";"Aa en Hunze                             ";"     230";"     125";"     110";"      15";"      30";"      20";"     105";"      50";"     538";"       .";"      9465"
"16";"BU16800409";"Aa en Hunze                             ";"      30";"      20";"      15";"       5";"       0";"       5";"      10";"       0";"       3";"       .";"      9465"
"17";"WK168005  ";"Aa en Hunze                             ";"     595";"     290";"     305";"      65";"      45";"      60";"     210";"     200";"     101";"       .";"         ."
"18";"BU16800500";"Aa en Hunze                             ";"     540";"     265";"     275";"      55";"      40";"      55";"     195";"     180";"     561";"       .";"      9469"
"19";"BU16800509";"Aa en Hunze                             ";"      55";"      30";"      30";"      10";"       0";"       5";"      15";"      15";"      11";"       .";"      9469"
"20";"WK168006  ";"Aa en Hunze                             ";"     435";"     225";"     210";"      80";"      40";"      70";"     170";"      65";"      67";"       .";"         ."
"21";"BU16800600";"Aa en Hunze                             ";"     425";"     220";"     205";"      75";"      40";"      70";"     165";"      60";"     331";"       .";"      9658"
"22";"BU16800609";"Aa en Hunze                             ";"      15";"      10";"       5";"       0";"       0";"       0";"       5";"       0";"       2";"       .";"      9658"
"23";"WK168007  ";"Aa en Hunze                             ";"     150";"      75";"      80";"      10";"      20";"      20";"      60";"      25";"     407";"       .";"         ."
"24";"BU16800700";"Aa en Hunze                             ";"     150";"      75";"      80";"      10";"      20";"      20";"      60";"      25";"     682";"       .";"      9656"
"25";"BU16800709";"Aa en Hunze                             ";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       0";"       .";"       .";"         ."
"26";"WK168008  ";"Aa en Hunze                             ";"     105";"      65";"      45";"      15";"       5";"      25";"      35";"      15";"      29";"       .";"         ."
