movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;relative_increase;absolute_increase
we-need-to-talk-about-kevin;10;ErikTheRed;/user/ErikTheRed;Dec 15, 2011;"[ ""This is a \""bad seed\"" movie that is done so intricately and thoughtfully that its impact stays with you for a good while.  What I found interesting is that the filmmaker took a well-worn subject  and played with it without making it a story of bad and good.  The acting is excellent and, as a parent,  it hit me on a deeper level about fears we have for our children, while exploring the frustration experienced when dealing with a child's problematic behavior or defects in a child's character."" ]";1.0;4.0;1.0;3.0;10.0;9
bone-tomahawk;9;ErikTheRed;/user/ErikTheRed;Oct 30, 2015;"[ ""Gritty movie with cool dialogue and excellent acting.  Certain mesmeric quality to this tale of retrieving captives from cave dwellers.  My level of involvement was surprising given the simplicity of the story.  Director knew how to build tension that grew out of your identification with the characters."" ]";1.0;2.0;1.0;1.0;9.0;8
price-check;8;ErikTheRed;/user/ErikTheRed;Nov 19, 2012;"[ ""I liked it as a workplace comedy.  Over the top, for sure, but it kept my interest in its wackiness.  In a movie world of sameness, this stood out as different without crossing the line into prurience or exploitation.  How people cope in an office environment and the decisive role that managers play was something I related to and found interesting."" ]";0.0;1.0;0.0;1.0;8.0;7
les-miserables;10;montfort;/user/montfort;Dec 27, 2012;"[ ""Great themes permeate the beautifully sung and brilliantly acted film version of the long-running stage show. In addition to updating the operatic form, the movie embraces its epic destiny. Instead of playing to the short attention spans of those who love the bloated excesses of Batman, or the adolescent charm of the Avengers, Les Miserables has the courage to examine just how hard it is to change anything for the better, and the redemption available for those willing to try. I have seldom been so moved by a motion picture and never by a musical. Hugh Jackman, Anne Hathaway, Eddie Redmayne, Aaron Tveit, Sacha Baron Cohen, Helena Bonham Carter and the luminous Samantha Barks shine. Cynics and those immune to the terrific score should maybe opt out. Those who can still feel their hearts beating should head to the barricades. Best film of 2012."" ]";1.0;2.0;1.0;1.0;5.0;8
silver-linings-playbook;9;montfort;/user/montfort;Jan  2, 2013;"[ ""A very different kind of love story that cashes in a little on the ballroom dancing craze while romanticizing mental illness through the genuinely perfect performances of Bradley Cooper and Jennifer Lawrence. Great acting helps this film overcome some cliche moments and a few peculiar writing devices. Chris Tucker, Robert De Niro and Jackie Weaver all work extremely hard to patch over some of the more predictable moments, making this film a must see."" ]";0.0;1.0;0.0;1.0;4.5;7
brooklyn;10;nameless;/user/nameless;Nov 25, 2015;"[ ""This is an absolute delight... only way to describe it. It takes you back to the 1950s in a perfect way. The reviewers who don't like this film should go back to Mockingjay Part2, obviously they are adrenaline junkies with few brain cells left. But if you want to experience and feel what it must have been like what your relatives went through growing up and trying new things... then run, do not walk, to this movie."" ]";10.0;10.0;10.0;0.0;3.3333333333333335;7
the-girl-with-the-dragon-tattoo-2011;10;nameless;/user/nameless;Dec 25, 2011;"[ ""Excellent. Engaging for the whole time. I'm thinking Brendan shouldn't go to anymore movies... just in case they might be a remake; it is obvious he didn't judge this movie on it merits. Though it is a long movie, it keep me wondering what was going to happen next, and I wasn't bored (and I don't like movies over 2 hours, just too self-indulgent by the director usually) but this one succeeds where other directors and editors lose their way."" ]";4.0;7.0;4.0;3.0;3.3333333333333335;7
my-week-with-marilyn;10;nameless;/user/nameless;Nov 25, 2011;"[ ""Excellent. The editing is wonderful, it gets you into the story before the characters take over. Michelle Williams nails the performance, just when you start to see the actress you slip right back into seeing Marilyn. The layers she has to play is amazing, not like the superficial cartoon that Kate Blanchett did of Katherine Hepburn (Aaarruggh).  I was caught up in the movie for the full time (also not something I can say for the poorly edited Hugo). If you want to be taken to another time and place and believe it, this is the one. You also get the added benefit of understanding how this characters interacted without the \""vengence\"" factor when characters get angry at one another in films today. The foreshadowing is subtle but clear yet you don't have clue how people will react."" ]";5.0;7.0;5.0;2.0;3.3333333333333335;7
going-clear-scientology-and-the-prison-of-belief;10;nameless;/user/nameless;Apr  5, 2015;"[ ""Wow, a real eye opener. No wonder you keep hearing things about them. Tom Cruise comes off as someone not very deep. He is a engaging actor but it really makes you think. A bit Michael Moore like because it has one point of view... then again Scientology doesn't have anyone speaking for them that doesn't sound like anything but a robot. It was a bit creepy that all their trappings did have a bit of a Germany in WWII look."" ]";4.0;4.0;4.0;0.0;3.3333333333333335;7
premium-rush;9;nameless;/user/nameless;Sep  7, 2012;"[ ""Good! The best movie this year. I've been disappointed in most movies this year with VFX substituting for story. This a great ride both action and narrative wise. It isn't going to solve the worlds problems but if you want a movie you can enjoy. The marketing has been terrible but this is going to the next ShawkShank movie on TNT in a few years, where they show it every month and you can watch over and over again for the ride."" ]";1.0;3.0;1.0;2.0;3.0;6
zero-dark-thirty;9;nameless;/user/nameless;Jan 20, 2013;"[ ""Excellent, and the audience I was in even clapped at the end. Yes, it does have about 20 minutes more than is usually good for moving the movie along but it is definintely worth the wait.  Liberals will really hate this movie because it doesn't paint the world as they utopia they want to live in. I am surprised Hollywood let this one out; of course it doesn't stand a chance to win awards because it isn't about social justice but real evil in the world."" ]";1.0;3.0;1.0;2.0;3.0;6
john-wick-chapter-2;8;nameless;/user/nameless;Feb 12, 2017;[];1.0;5.0;1.0;4.0;2.6666666666666665;5
spotlight;8;nameless;/user/nameless;Dec  7, 2015;"[ ""Very well made. Kept your attention all the way through. The story is a bit thin so you have to admire the top notch acting, directing, writing, and editing. If you believe journalists are not this altruistic and more agenda driven this will be a bit difficult to swallow. A bit political in that it focused exclusively on the negative and ignored the 94% that are good though I get why they did this for the sake of the story."" ]";4.0;4.0;4.0;0.0;2.6666666666666665;5
another-happy-day;8;nameless;/user/nameless;Nov 27, 2011;"[ ""Ellen Barkin is very courageous, she plays a character that is impossible to like. A character so self centered and self destructive that she makes House look like a people person. The difference is she thinks she is rational all the time and perpetually confused as to why she is rebuffed but never gives up in the righteousness of her point of view.  It makes you think of people you have met like this.  From an audience point of view you want to identify or like someone in this movie but every character is very hard to take. That makes this a tough movie to watch but you think about it for days afterwards... it haunts you."" ]";0.0;0.0;0.0;0.0;2.6666666666666665;5
the-comedy;10;Evolutionary;/user/Evolutionary;Mar 12, 2013;"[ ""The Comedy, alongside The Master, was far and away the best film of last year. The low critic reviews are a little suprising, but not so much when we consider Kaufman's tragically low rating of 67 for Synechdoche New York. Sometimes they get it wrong. Firstly, Heidecker's turn as the lead in a serious film was criminally passed over. Naturalistic, realistic acting appears to be becoming a thing of the past in mainstream film, so his portrayal in this is refreshing. The movie is not a comedy, but it is very funny in parts, thanks mainly to Tim's cruel deadpan and his chemistry with Eric Wareheim. It's a character study, and one that finally targets the apathy and emotional distance of aging 30 year olds who aren't willing or able to let go of their youth or play the 'game.'  Looking forward to seeing another film from the director, who has the potential of being a darker  harsher Noah Baumbach."" ]";6.0;7.0;6.0;1.0;2.5;6
