movieName;Metascore_w;Author;AuthorHref;Date;Summary;InteractionsYesCount;InteractionsTotalCount;InteractionsThumbUp;InteractionsThumbDown;relative_increase;absolute_increase
lee-daniels-the-butler;10;DannyG;/user/DannyG;Nov  8, 2014;"[ ""For Once Good Triumphs Over Evil In Real Life! The Butler, whose real name is Eugene Allen, is one of the strongest men I have ever heard of in the 50+ years I've been living on this earth! I can only imagine the psychological strength it must take to keep one's self-control when you are confronted by so much evil, shallowness and contempt. Forget about politics for a moment, this film is the psychological study of a man who is the ultimate survivor! And if I was ever imprisoned someday in a Concentration camp this is the kind of man I would want to have in the bunk next to mine!"", """", ""In the very last scene there was a quite an ironic moment when out of all the Presidential tie clasps The Butler had to choose from he decides to wear LBJ's! President Johnson domestic agenda accomplished so much it defies comprehension: The passing of major civil rights bills, huge aid increases in education, the passage of Medicare and Medicaid, urban renewal programs, the Clean Air Act of 1963, the Wilderness Act, the Freedom of Information Act, the Public Architectural Barriers Act, the Public Broadcasting Act, beautification programs, development aid for depressed regions throughout the United States, a wide-scale fight against poverty and the removal of obstacles to the right to vote, in addition to the creation of the Head Start program and the Food Stamps program. Let us not forget the passage of the Gun Control Act (and he was from Texas, for God's Sake!) Under Johnson, NASA conducted the Gemini manned space program, developed the Saturn V rocket used by the Apollo and Skylab programs and made the first manned Apollo program flights. KEEP IN MIND JOHNSON PUSHED ALL THIS THOUGH CONGRESS IN LESS THAN 6 YEARS! I don't want to minimize the evil President Johnson did in Vietnam, but no President has done more for every American LIVING TODAY than LBJ and the Democratic Congress under his leadership! Every four years, I literally pray for a domestic policy version of LBJ to win the White House! To date, President Obama comes closest with his expansion of health care insurance and getting us through the greatest economic downturn since the Great Depression."", """", ""For those conservatives who believe Ronald Reagan is ready for sainthood, he did more harm than good. Sure he was a nice guy, but I could care less about how nice he was. Even he admits he was on the wrong side of history! What more do you want? The irony is that by today's crazy Republican party standards Reagan would be considered a flaming liberal!"", """", ""The Butler is a synopsis of some of the most important moments in United States history witnessed by one incredibly brave man! A film people will be watching 100 years from now!"" ]";0.0;0.0;0.0;0.0;inf;10
don-jon;10;DannyG;/user/DannyG;Nov  8, 2014;"[ ""Don Jon Is A Profoundly Therapeutic Film! Anyone who has sexual, intimacy or porn addiction problems should watch this film. It will help you to heal! Even if you have none of these issues, bring your lover to this film. I guarantee you, if you're even a somewhat sensitive person, you will make passionate love to each other after watching Don Jon! It's that good!"", """", ""If you're a psychotherapist or if you lead a support group for intimacy or sex addiction problems, I highly recommend watching this film! It will benefit both you and your clients!"", """", ""While this film is geared to heterosexuals it will benefit anyone regardless of your sexual preference!"", """", ""If you have never experienced true emotional intimacy with another human being, or a truly loving sexual relationship, Don Jon will give you some idea what true emotional intimacy or a loving, sexual relationship is all about!"", """", ""This movies is so profound - and it's ramifications are so deep - I'm starting to get emotional myself as I write this review!"" ]";0.0;0.0;0.0;0.0;inf;10
lone-ranger;10;DannyG;/user/DannyG;Nov  8, 2014;"[ ""We Get To See A Nation of Thieves At Work! While the Lone Ranger succeeds in maintaining a great sense of humor throughout, and never takes it's self too seriously, this film is still able to convey some incredibly powerful messages that need to resonate with more people."", """", ""This brilliant story makes it clear as crystal: the Crimes Against Humanity, otherwise known as acts of genocide, committed in the 19th century in the name of \""Progress\"" and \""Greed and/or Capitalism\"" continues to benefit all non-American Indians to this very day! It was a shocking revelation! I never thought of this legacy of undeserved benefit at the cost of countless innocent lives had anything to do with me!"", """", ""Our ancestors were a nation of thieves! Hello! Most Americans are descended From European cultures that practically worship property rights and most of us still do! Yet our ancestors would kill entire villages of native people without a second thought in order to steal their land and/or their natural resources! All because they knew they could get away with their crimes without ever being held the least bit accountable by anyone!"", """", ""There's several episodes of intense violence in the Lone Ranger that made me feel like bolting out the theater door! I have extensive knowledge of American history and the historically accurate violence shown in this film caught me totally off-guard! (See: \""North American Indian Timeline, 1492-1999,\"" from thelatinlibraryorg)"", """", ""What makes matters even more painful is that in various parts of the world the killing of native peoples in order to steal their land and/or natural resources is still going on today! Yes! Today! (See: Survival International, headquartered in London, England with a chapter in San Fransisco; and Cultural Survival located in Cambridge, Massachusetts.)"", """", ""This story is really about Tonto and his people the Comanche, not the Lone Ranger! Without Tonto, the Lone Ranger would have remained an easily deceived, bumbling fool!"" ]";0.0;0.0;0.0;0.0;inf;10
maleficent;10;DannyG;/user/DannyG;Nov  8, 2014;"[ ""Storytelling Doesn't Get better Than This! What a brilliant story about love, betrayal, the lust for power, innocence and redemption. This is also about biodiversity and the clash of two worlds that literally exist side by side: one grossly materialistic, the other deeply spiritual; one ruthless and masculine, the other vital and feminine."", """", ""The spirituality portrayed in Maleficent will make believers in earth-centered religions cry tears of joy. What a teachable moment for our children and teens! It teaches us what it means to really be a hero. It reminds us all that the spiritual world around us, as well as the natural world, are quite diverse and amazingly beautiful, indeed!"", """", ""Maleficent is a scathing indictment of materialism and the abuse of power. I'm so happy I had the courage watch this film because it so rare that Hollywood makes a film that's neither incredibly dumb or disgustingly violent."" ]";0.0;1.0;0.0;1.0;inf;10
the-imitation-game;10;DannyG;/user/DannyG;Jan  4, 2015;"[ ""A Gay Man Saves 14 Million Lives Throughout the World....by shortening humanity’s worst war of all time by at least two years! He may even have saved the life of my own beloved grandfather who worked in the Brooklyn (New York) Navel Yard all throughout World War 2! A military target that would have eventually been within reach of German submarines."", """", ""If it wasn’t for Alan Turing’s genius, integrity and perseverance all of history would have been changed for the worse. Another minor footnote: He’s also the father of the modern computer and one of the greatest mathematicians who ever lived."", """", ""Despite being one of the giants of the 20th century, few people outside those with a passion for history or computing have ever heard of the man until now. No universities or streets are named after him. No statues or portrait honor him anywhere in the world all because he is gay. In fact, it took the Queen of England to the year 2013 to issue him a pardon for having consensual sex - in the privacy of his home - with another man! In 2013! That’s an abomination. The Queen of England is sitting on her throne in one piece because of this man! She should have laid a wreath on his grave decades ago!"", """", ""I’m not ashamed to admit it, but I sobbed at the end of this movie! This is a most profound story about love!  YES! LOVE! Intense, passionate love is not limited to just heterosexuals!"", """", ""It’s also a story about sex. I was born in the 1960’s and consensual sex - in the privacy of one’s home - between men was legal in the State I was living in when I turned 18. But the stigma of being a sexual minority remains in way too many places – and affects me greatly in my own personal life to this very day. The pain I – and others – have suffered for being “different” is indescribable. This story validates my experiences and the experiences of millions of other sexual minorities – from around the world - both living and deceased."", """", ""The cruelty Alan Turing experienced from his classmate is similar to what I had to endure in high school. But I was lucky; I never had to worry about having consensual sex with another man in the privacy of my own home. But in Alan Turing’s case you get to see a good man who gave so incredibly much to the world be ripped apart by pure evil that was 100% legal back in the 1950’s! It’s so ironic too! Watch closely. The police officer breaks the law and he is the one who should be legitimately imprisoned! It’s not just in the United States that police officers feel they are above the law they supposedly serve!"", """", ""Memo to Hollywood: This shows you know how to make great movies. Sure, you won’t make billions every time, but you’re gonna make a tidy profit by doing a spectacular job. Wouldn’t you rather make a film people will be watching 500 years from now on another planet in another solar system then making trash, like The Hobbit trilogy, that no will care about once it leaves the theaters?"", """", ""One more point to ponder: Michelangelo is considered by most people to be the greatest sculptor who ever lived. He was a gay man and he lived centuries ago - in peace - till he reached 88 (Yes 8-8). Now fast-forward to the 1950’s - in what was supposedly the country that birthed modern democracy - and look what the British did to one of the greatest mathematicians that ever lived only because he is gay!"" ]";2.0;4.0;2.0;2.0;inf;10
passengers-2016;10;norse;/user/norse;Jul  2, 2017;"[ ""Mindblowing visuals, great actors putting on stellar performances and a story that was suprisingly different from what I expected. I think other than the visual styles the thing that really worked for the movie is that it chose to invest into very few, very very good actors. Also, Jennifer Lawrence has become amazingly beautiful. Also, my most favorite application of actual physics in a movie in a pivotal scene."" ]";2.0;2.0;2.0;0.0;inf;10
captain-america-civil-war;10;norse;/user/norse;Sep 24, 2016;"[ ""Mind blown. A marvel superhero movie with actual real character development and believable motivations for all involved, respect for the laws of physics? Amazing work; acting, graphics, score, writing (literally: I've not seen screen writing of this quality since the heyday of Joss Whedon) are top-notch. One more detail that makes this my favorite Marvel movie of all times: the fight sequences are visualized better than I've ever seen before."" ]";1.0;4.0;1.0;3.0;inf;10
5-to-7;10;norse;/user/norse;Apr 12, 2017;"[ ""This is hands down the most impressive movie I have ever seen."", ""The writing is superb both in verbal banter and storytelling, the actors are throughout delivering pitch perfect performances (and I have to say, I had no idea of the range Yelchin had based on seeing him in Star Trek - what a tragic loss!), the score is moving and the cinematography unique and visually impressive. It defies the categorization as a rom-com: it avoids all the cliches, and shows characters that come across as genuine in their emotions and motivation, and it consistently manages to not cross the line to unrealistic anxiety and tension."", ""Masterpiece."" ]";1.0;1.0;1.0;0.0;inf;10
warcraft;10;norse;/user/norse;Feb 17, 2017;"[ ""Amazingly good movie, best I've seen since Dr Strange. Great writing, avoiding many cliches, reasoned background and some truly unexpected events. The actors do wonders with this difficult material. Graphics and sound are top-notch. It's instructive to watch the deleted scenes - two that should not be in the movie made it into the Blueray, and two that would have added real value remain cut."", ""Note that the blueray has issues on PS4 and Xbox with picking up after an interruption - all you'll get until you clean the internet cache is a black screen."" ]";0.0;0.0;0.0;0.0;inf;10
dracula-untold;10;norse;/user/norse;May 18, 2016;"[ ""A complete surprise - a great Dracula retelling, with characters that behave consistently and reasonably at all times, ending in one heck of a cliff hanger. I don't usually enjoy horror movies. This one was a notable exception. Great acting, cinematography, a gripping score and an extremely well written story. Color me impressed."" ]";0.0;0.0;0.0;0.0;inf;10
